NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
206403,2024,23052929.0,2301406.0,Aratuba,23.0,CE,2.0,1.0,1.0,2301406,Aratuba,23,CE,1,1,1,1,1420.0,1383.0,1395.0,1408.0,436.8,377.8,423.4,427.1,CAABADDBBBACACACDEABDBABDDCCBACDCCBAACCABCBAC,BEABBCDABCDBAEEBDDABCCDAADDABACDDAB..........,BCADBCDCEDBDDBDDCDBCBB*BBDEAEEBCDCABBDDAAECEE,CBDCCADBBECCBADEACCBDCACECDDABBDBADBAAEDBCCAB,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1.0,80.0,60.0,60.0,80.0,20.0,300.0
3604651,2024,42103770.0,4218004.0,Tijucas,42.0,SC,4.0,1.0,1.0,4218004,Tijucas,42,SC,1,1,1,1,1422.0,1384.0,1396.0,1410.0,521.9,601.9,605.5,689.2,EBDEEADAECCAAEDBBEDABACDBCEEDDDEDBDDABDBCCECA,BADBACDAECEDEABBEADDBBDEBEDADEDEEACBBECABCEDA,AACEACADECBCDAEEBEDCBCBEDDCDEAEDEBDABDCECDDDB,DBAEDBECBDDBCCBBABBDECCCCEECBACCDBCDAAABBAAAD,0,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1.0,160.0,200.0,200.0,180.0,180.0,920.0
1461268,2024,,,,,,,,,4122404,Rolândia,41,PR,1,1,1,1,1419.0,1385.0,1398.0,1407.0,363.0,548.4,557.2,456.4,CABAECDBADDCDEACABEACEABEDDCEDCDCCBDBDBDDBDCC,DAEDBCDCEBCCECADDACABDEBDCDECEDBEABECBCBBDBCD,BBCABCACDDEECCBCECECADEECCBEADBBEDBDDDEDDEECB,EBADBEDDDBCBCBCDCCECAAADDDECCDBDACACCEAEACDAC,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,120.0,120.0,40.0,120.0,80.0,480.0
4301058,2024,,,,,,,,,3534401,Osasco,35,SP,1,1,1,1,1421.0,1386.0,1397.0,1409.0,550.7,553.8,605.9,629.1,DDAAECECCBDBECBCBEAAADCBDDBBBEDADBDCCEEBCDAAD,ACCEADCEBDEECEDCCAADBBBCBCEABCD*AECAA........,AACEACBEDBAEEBEABDABCECDBACDCDDDCADEDDDECBEDE,BBBCDACDCABADAEACCECBCDAECECECCECBDEDABEDBCBA,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1.0,140.0,200.0,160.0,160.0,80.0,740.0
3148322,2024,21150354.0,2100436.0,Alto Alegre do Maranhão,21.0,MA,2.0,1.0,1.0,2111508,São Mateus do Maranhão,21,MA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
1035588,2024,,,,,,,,,2408102,Natal,24,RN,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
3587454,2024,15585689.0,1501402.0,Belém,15.0,PA,4.0,1.0,1.0,1501402,Belém,15,PA,1,2,2,1,1420.0,,,1408.0,486.7,,,525.1,ECCDAACEAACCBAABCBBDBAECBDBCACBEEDBDDADEADDAC,,,DCBBBBEAACECBBCBBACBCACCBDDCCAAEBBBDBECBDDABC,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,,,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,,,,,,,
140768,2024,,,,,,,,,2408102,Natal,24,RN,1,1,1,1,1419.0,1385.0,1398.0,1407.0,482.7,531.6,439.2,496.7,BECBCDCEECCDDEDDAAACCEDBEEEBABBEEBEDEEEDDDDDC,CABEECBCBACCDCAABEDABDEAAEEDEEDBCADECEABCDDCD,BDC*ABDCBCDEEDABECBCBEDEACEDAECECEDDDDDCABDDE,DCCDBEDCCCCADDD*ACBAEBCDCEEECDEDAEBEDDDEBCADC,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1.0,100.0,80.0,60.0,120.0,0.0,360.0
3541867,2024,,,,,,,,,3156700,Sabará,31,MG,0,2,2,0,,,,,,,,,,,,,1,,,,,,,,,,,
3371353,2024,,,,,,,,,3520509,Indaiatuba,35,SP,1,1,1,1,1420.0,1383.0,1395.0,1408.0,599.5,640.3,597.6,665.3,EAEEADBCAABDCEBAEDACBDECCDBDBCEEBADCEEDEADDDD,CECEBEBEDCCDCEDBABCDCAACEDADEAEAAEADECDEDACBE,CAAAEACBECDDDBBDEDCCECEACBCDAAABDBEBBBEBADEEB,CEAAAEEABBAACCAABCCEAECCCECBCCCCBAADDCBDDBBDD,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1.0,120.0,200.0,120.0,120.0,200.0,760.0
377894,2024,,,,,,,,,2504306,Catolé do Rocha,25,PB,1,1,1,1,1421.0,1386.0,1397.0,1409.0,362.6,436.0,460.0,382.4,DEADEBDABABCCDEDACBBCBDEEDBDBCDCBDAEBADADCECB,BDBACEDCABCBABDAEBBACEACDAEDCBDDABEECADBCCECA,CCDDEABEEBEDDBDDADCBADCABDBEACCDEADEADBCDCABD,EBDECDACACEABCADACCADEAAEEDEAEEEDCECADEBEADBD,1,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1.0,100.0,100.0,80.0,100.0,80.0,460.0
3446319,2024,51191024.0,5107354.0,São José do Xingu,51.0,MT,2.0,2.0,1.0,5103353,Confresa,51,MT,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
